class,slot,slot_uri,slot notes,instance notes,scn token inconsistencies,sheet,MIXS ID,Environmental package,Structured comment name,Item (rdfs:label) / Package item,Definition,Expected value,Value syntax,Example,Section,Requirement,migs_eu,migs_ba,migs_pl,migs_vi,migs_org,mims,mimarks_s,mimarks_c,misag,mimag,miuvig,Preferred unit,Occurence/Occurrence,,,,,,
HostAssociated,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,host-associated,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,,
HumanAssociated,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,human-associated,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
HumanGut,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,human-gut,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
HumanOral,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,human-oral,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
HumanSkin,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,human-skin,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
HumanVaginal,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,human-vaginal,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
PlantAssociated,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001298,plant-associated,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).,species name or common name,{text},flukeworms,,X,,,,,,,,,,,,,m,,,
SymbiontAssociated,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001309,symbiont-associated,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. For cases when the specific host of the sample is a symbiont this field should refer to other organisms it is associated with. E.g.: hyperparasite species X (parasite of the parasite),symbionts of the symbiotic organism (host of the samples). e.g.: annotating a sample collected from a trematode with a nematomorpha cyst consider: species name of the nematomorph; {species name} or {common name},{text},Paragordius varius,,X,,,,,,,,,,,,,,,,,
Agriculture,microbial_biomass_meth,MIXS:0000339,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has microbial_biomass_meth. Agriculture says microbial_biomass_meth. Soil says micro_biomass_meth.,,,environmental_packages,MIXS:0000339,agriculture,microbial_biomass_meth,microbial biomass method,Reference or method used in determining microbial biomass,PMID,DOI or url,{PMID|DOI|URL},,,M,,,,,,,,,,,,,1,,,,,
Soil,microbial_biomass_meth,MIXS:0000339,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has microbial_biomass_meth. Agriculture says microbial_biomass_meth. Soil says micro_biomass_meth.,,,environmental_packages,MIXS:0000339,soil,micro_biomass_meth,microbial biomass method,Reference or method used in determining microbial biomass,PMID,DOI or url,{PMID}|{DOI}|{URL},,,X,,,,,,,,,,,,,1,,,,,
HumanAssociated,nose_throat_disord,,HumanAssociated says MIXS:0000270. HumanOral says MIXS:0000283. Neither is used for any other SCN by any other package,,,environmental_packages,MIXS:0000270,human-associated,nose_throat_disord,lung/nose-throat disorder,History of nose-throat disorders; can include multiple disorders,  The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, lung disease (https://disease-ontology.org/?id=DOID:850), upper respiratory tract disease (https://disease-ontology.org/?id=DOID:974).,disorder name,{text},,,X,,,,,,,,,,,,,m,,,
HumanOral,nose_throat_disord,,HumanAssociated says MIXS:0000270. HumanOral says MIXS:0000283. Neither is used for any other SCN by any other package,,,environmental_packages,MIXS:0000283,human-oral,nose_throat_disord,nose/mouth/teeth/throat disorder,History of nose/mouth/teeth/throat disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, nose disease (https://disease-ontology.org/?id=DOID:2825), mouth disease (https://disease-ontology.org/?id=DOID:403), tooth disease (https://disease-ontology.org/?id=DOID:1091), or upper respiratory tract disease (https://disease-ontology.org/?id=DOID:974).,disorder name,{text},,,X,,,,,,,,,,,,,m,,
FoodFarmEnvironment,prod_label_claims,,,,,environmental_packages,,food-farm environment,prod_label_claims,production labeling claims,"Labeling claims containing descriptors such as wild caught, free-range, organic, free-range, industrial, hormone-free, antibiotic free, cage free. Can include more than one term, separated by "";""",text,{text},free range,,X,,,,,,,,,,,,,m,,,,,,
FoodFoodProductionFacility,prod_label_claims,,,,,environmental_packages,,food-food production facility,prod_label_claims,production labeling claims,"Labeling claims containing descriptors such as wild caught, free-range, organic, free-range, industrial, hormone-free, antibiotic free, cage free. Can include more than one term, separated by "";""",text,{text},free range,,X,,,,,,,,,,,,,m,,,,,,
Agriculture,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,environmental_packages,MIXS:0000002,agriculture,samp_collect_device,sample collection device or method,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,type name,{text},biopsy, niskin bottle, push core,,M,,,,,,,,,,,,,1,,,,
Checklist,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,MixS,MIXS:0000002,,samp_collec_device,sample collection device,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,device name,{termLabel} {[termID]}|{text},swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713],nucleic acid sequence source,,X,X,X,X,X,C,C,X,C,C,C,,1,,
FoodAnimalAndAnimalFeed,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,environmental_packages,MIXS:0000002,food-animal and animal feed,samp_collect_device,sample collection device,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,device name,{termLabel} {[termID]}|{text},swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713],,X,,,,,,,,,,,,,1,,
FoodFarmEnvironment,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,environmental_packages,MIXS:0000002,food-farm environment,samp_collect_device,sample collection device,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,device name,{termLabel} {[termID]}|{text},swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713],,X,,,,,,,,,,,,,1,,
FoodFoodProductionFacility,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,environmental_packages,MIXS:0000002,food-food production facility,samp_collect_device,sample collection device,The device employed for collecting the sample.,type name,{text},biopsy, niskin bottle, push core,,X,,,,,,,,,,,,,1,,,,
FoodHumanFoods,samp_collect_device,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and five packages say samp_collect_device,,,environmental_packages,MIXS:0000002,food-human foods,samp_collect_device,sample collection device,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,device name,{termLabel} {[termID]}|{text},swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713],,X,,,,,,,,,,,,,1,,
Agriculture,samp_collect_method,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and three packages say samp_collect_method. three packages say samp_collect_method.,,,environmental_packages,MIXS:0001225,agriculture,samp_collect_method,sample collection method,The method employed for collecting the sample.,PMID,DOI,url , or text,{PMID}|{DOI}|{URL}|{text},environmental swab sampling,,X,,,,,,,,,,,,,1,,,
Checklist,samp_collect_method,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and three packages say samp_collect_method. three packages say samp_collect_method. FoodHumanFoods says sample_collec_method.,,,MixS,MIXS:0001225,,samp_collec_method,sample collection method,The method employed for collecting the sample.,PMID,DOI,url , or text,{PMID}|{DOI}|{URL}|{text},swabbing,nucleic acid sequence source,,X,X,X,X,X,C,C,X,C,C,C,,1,,,
FoodAnimalAndAnimalFeed,samp_collect_method,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and three packages say samp_collect_method. three packages say samp_collect_method. FoodHumanFoods says sample_collec_method.,,,environmental_packages,MIXS:0001225,food-animal and animal feed,samp_collect_method,sample collection method,The method employed for collecting the sample.,PMID,DOI,url , or text,{PMID}|{DOI}|{URL}|{text},environmental swab sampling,,X,,,,,,,,,,,,,1,,,
FoodFoodProductionFacility,samp_collect_method,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and three packages say samp_collect_method. three packages say samp_collect_method.,,,environmental_packages,MIXS:0001225,food-food production facility,samp_collect_method,sample collection method,The method employed for collecting the sample.,PMID,DOI,url , or text,{PMID}|{DOI}|{URL}|{text},environmental swab sampling,,X,,,,,,,,,,,,,1,,,
Air,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,air,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
