Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
built environment	building_setting	A location (geography) where a building is set	enumeration	[urban|suburban|exurban|rural]	rural		1	MIXS:0000768	building setting
built environment	light_type	Application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light	enumeration	[natural light|electric light|desk lamp|flourescent lights|natural light|none]	desk lamp		m	MIXS:0000769	light type
built environment	samp_sort_meth	Method by which samples are sorted; open face filter collecting total suspended particles, prefilter to remove particles larger than X micrometers in diameter, where common values of X would be 10 and 2.5 full size sorting in a cascade impactor.	description of method	{text}			m	MIXS:0000216	sample size sorting method
built environment	space_typ_state	Customary or normal state of the space	enumeration	[typically occupied|typically unoccupied]	typically occupied		1	MIXS:0000770	space typical state
built environment	typ_occup_density	Customary or normal density of occupants	measurement value	{float}	25		1	MIXS:0000771	typical occupant density
built environment	occup_samp	Number of occupants present at time of sample within the given space	measurement value	{integer}	10		1	MIXS:0000772	occupancy at sampling
built environment	occup_density_samp	Average number of occupants at time of sampling per square footage	measurement value	{float}			1	MIXS:0000217	occupant density at sampling
built environment	address	The street name and building number where the sampling occurred.	value	{integer}{text}			1	MIXS:0000218	address
built environment	adj_room	List of rooms (room number, room name) immediately adjacent to the sampling room	room name;room number	{text};{integer}			1	MIXS:0000219	adjacent rooms
built environment	aero_struc	Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together	enumeration	[plane|glider]	plane		1	MIXS:0000773	aerospace structure
built environment	amount_light	The unit of illuminance and luminous emittance, measuring luminous flux per unit area	measurement value	{float} {unit}		lux, lumens per square meter	1	MIXS:0000140	amount of light
built environment	arch_struc	An architectural structure is a human-made, free-standing, immobile outdoor construction	enumeration	[building|shed|home]	shed		1	MIXS:0000774	architectural structure
built environment	avg_occup	Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room.	value	{float}	2		1	MIXS:0000775	average daily occupancy
built environment	avg_dew_point	The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	measurement value	{float} {unit}	25.5 degree Celsius	degree Celsius	1	MIXS:0000141	average dew point
built environment	avg_temp	The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day	measurement value	{float} {unit}	12.5 degree Celsius	degree Celsius	1	MIXS:0000142	average temperature
built environment	bathroom_count	The number of bathrooms in the building	value	{integer}	1		1	MIXS:0000776	bathroom count
built environment	bedroom_count	The number of bedrooms in the building	value	{integer}	2		1	MIXS:0000777	bedroom count
built environment	built_struc_age	The age of the built structure since construction	value	{float} {unit}	15	year	1	MIXS:0000145	built structure age
built environment	built_struc_set	The characterization of the location of the built structure as high or low human density	enumeration	[urban|rural]	rural		1	MIXS:0000778	built structure setting
built environment	built_struc_type	A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads	free text	{text}			1	MIXS:0000721	built structure type
built environment	ceil_area	The area of the ceiling space within the room	measurement value	{float} {unit}	25 square meter	square meter	1	MIXS:0000148	ceiling area
built environment	ceil_cond	The physical condition of the ceiling at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	enumeration	[new|visible wear|needs repair|damaged|rupture]	damaged		1	MIXS:0000779	ceiling condition
built environment	ceil_finish_mat	The type of material used to finish a ceiling	enumeration	[drywall|mineral fibre|tiles|PVC|plasterboard|metal|fiberglass|stucco|mineral wool/calcium silicate|wood]	stucco		1	MIXS:0000780	ceiling finish material
built environment	ceil_water_mold	Signs of the presence of mold or mildew on the ceiling	enumeration	[presence of mold visible|no presence of mold visible]	presence of mold visible		1	MIXS:0000781	ceiling signs of water/mold
built environment	ceil_struc	The construction format of the ceiling	enumeration	[wood frame|concrete]	concrete		1	MIXS:0000782	ceiling structure
built environment	ceil_texture	The feel, appearance, or consistency of a ceiling surface	enumeration	[crows feet|crows-foot stomp|double skip|hawk and trowel|knockdown|popcorn|orange peel|rosebud stomp|Santa-Fe texture|skip trowel|smooth|stomp knockdown|swirl]	popcorn		1	MIXS:0000783	ceiling texture
built environment	ceil_thermal_mass	The ability of the ceiling to provide inertia against temperature fluctuations. Generally this means concrete that is exposed. A metal deck that supports a concrete slab will act thermally as long as it is exposed to room air flow	measurement value	{float} {unit}		joule per degree Celsius	1	MIXS:0000143	ceiling thermal mass
built environment	ceil_type	The type of ceiling according to the ceiling's appearance or construction	enumeration	[cathedral|dropped|concave|barrel-shaped|coffered|cove|stretched]	coffered		1	MIXS:0000784	ceiling type
built environment	cool_syst_id	The cooling system identifier	unique identifier	{integer}	12345		1	MIXS:0000785	cooling system identifier
built environment	date_last_rain	The date of the last time it rained	timestamp	{timestamp}	2018-05-11:T14:30Z		1	MIXS:0000786	date last rain
built environment	build_docs	The building design, construction and operation documents	enumeration	[building information model|commissioning report|complaint logs|contract administration|cost estimate|janitorial schedules or logs|maintenance plans|schedule|sections|shop drawings|submittals|ventilation system|windows]	maintenance plans		1	MIXS:0000787	design, construction, and operation documents
built environment	door_size	The size of the door	measurement value	{float} {unit}	2.5 square meter	square meter	1	MIXS:0000158	door area or size
built environment	door_cond	The phsical condition of the door	enumeration	[damaged|needs repair|new|rupture|visible wear]	new		1	MIXS:0000788	door condition
built environment	door_direct	The direction the door opens	enumeration	[inward|outward|sideways]	inward		1	MIXS:0000789	door direction of opening
built environment	door_loc	The relative location of the door in the room	enumeration	[north|south|east|west]	north		1	MIXS:0000790	door location
built environment	door_mat	The material the door is composed of	enumeration	[aluminum|cellular PVC|engineered plastic|fiberboard|fiberglass|metal|thermoplastic alloy|vinyl|wood|wood/plastic composite]	wood		1	MIXS:0000791	door material
built environment	door_move	The type of movement of the door	enumeration	[collapsible|folding|revolving|rolling shutter|sliding|swinging]	swinging		1	MIXS:0000792	door movement
built environment	door_water_mold	Signs of the presence of mold or mildew on a door	enumeration	[presence of mold visible|no presence of mold visible]	presence of mold visible		1	MIXS:0000793	door signs of water/mold
built environment	door_type	The type of door material	enumeration	[composite|metal|wooden]	wooden		1	MIXS:0000794	door type
built environment	door_comp_type	The composite type of the door	enumeration	[metal covered|revolving|sliding|telescopic]	revolving		1	MIXS:0000795	door type, composite
built environment	door_type_metal	The type of metal door	enumeration	[collapsible|corrugated steel|hollow|rolling shutters|steel plate]	hollow		1	MIXS:0000796	door type, metal
built environment	door_type_wood	The type of wood door	enumeration	[bettened and ledged|battened|ledged and braced|battened|ledged and framed|battened|ledged, braced and frame|framed and paneled|glashed or sash|flush|louvered|wire gauged]	battened		1	MIXS:0000797	door type, wood
built environment	drawings	The buildings architectural drawings; if design is chosen, indicate phase-conceptual, schematic, design development, and construction documents	enumeration	[operation|as built|construction|bid|design|building navigation map|diagram|sketch]	sketch		1	MIXS:0000798	drawings
built environment	elevator	The number of elevators within the built structure	value	{integer}	2		1	MIXS:0000799	elevator count
built environment	escalator	The number of escalators within the built structure	value	{integer}	4		1	MIXS:0000800	escalator count
built environment	exp_duct	The amount of exposed ductwork in the room	measurement value	{float} {unit}		square meter	1	MIXS:0000144	exposed ductwork
built environment	exp_pipe	The number of exposed pipes in the room	measurement value	{integer}			1	MIXS:0000220	exposed pipes
built environment	ext_door	The number of exterior doors in the built structure	value	{integer}			1	MIXS:0000170	exterior door count
built environment	fireplace_type	A firebox with chimney	enumeration	[gas burning|wood burning]	wood burning		1	MIXS:0000802	fireplace type
built environment	floor_age	The time period since installment of the carpet or flooring	value	{float} {unit}		years, weeks, days	1	MIXS:0000164	floor age
built environment	floor_area	The area of the floor space within the room	measurement value	{float} {unit}		square meter	1	MIXS:0000165	floor area
built environment	floor_cond	The physical condition of the floor at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	enumeration	[new|visible wear|needs repair|damaged|rupture]	new		1	MIXS:0000803	floor condition
built environment	floor_count	The number of floors in the building, including basements and mechanical penthouse	value	{integer}			1	MIXS:0000225	floor count
built environment	floor_finish_mat	The floor covering type; the finished surface that is walked on	enumeration	[tile|wood strip or parquet|carpet|rug|laminate wood|lineoleum|vinyl composition tile|sheet vinyl|stone|bamboo|cork|terrazo|concrete|none;specify unfinished|sealed|clear finish|paint]	carpet		1	MIXS:0000804	floor finish material
built environment	floor_water_mold	Signs of the presence of mold or mildew in a room	enumeration	[mold odor|wet floor|water stains|wall discoloration|floor discoloration|ceiling discoloration|peeling paint or wallpaper|bulging walls|condensation]	ceiling discoloration		1	MIXS:0000805	floor signs of water/mold
built environment	floor_struc	Refers to the structural elements and subfloor upon which the finish flooring is installed	enumeration	[balcony|floating floor|glass floor|raised floor|sprung floor|wood-framed|concrete]	concrete		1	MIXS:0000806	floor structure
built environment	floor_thermal_mass	The ability of the floor to provide inertia against temperature fluctuations	measurement value	{float} {unit}		joule per degree Celsius	1	MIXS:0000166	floor thermal mass
built environment	freq_clean	The number of times the sample location is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.	enumeration or {text}	[ Daily| Weekly| Monthly| Quarterly | Annually| other]			1	MIXS:0000226	frequency of cleaning
built environment	freq_cook	The number of times a meal is cooked per week	measurement value	{integer}			1	MIXS:0000227	frequency of cooking
built environment	furniture	The types of furniture present in the sampled room	enumeration	[cabinet|chair|desks]	chair		1	MIXS:0000807	furniture
built environment	gender_restroom	The gender type of the restroom	enumeration	[all gender|female|gender neurtral|male|male and female|unisex]	male		1	MIXS:0000808	gender of restroom
built environment	hall_count	The total count of hallways and cooridors in the built structure	value	{integer}			1	MIXS:0000228	hallway/corridor count
built environment	handidness	The handidness of the individual sampled	enumeration	[ambidexterity|left handedness|mixed-handedness|right handedness]	right handedness		1	MIXS:0000809	handidness
built environment	heat_deliv_loc	The location of heat delivery within the room	enumeration	[north|south|east|west]	north		1	MIXS:0000810	heating delivery locations
built environment	heat_sys_deliv_meth	The method by which the heat is delivered through the system	enumeration	[conductive|radiant]	radiant		1	MIXS:0000812	heating system delivery method
built environment	heat_system_id	The heating system identifier	unique identifier	{integer}			1	MIXS:0000833	heating system identifier
built environment	height_carper_fiber	The average carpet fiber height in the indoor environment	value	{float} {unit}		centimeter	1	MIXS:0000167	height carpet fiber mat
built environment	inside_lux	The recorded value at sampling time (power density)	measurement value	{float} {unit}		kilowatt per square metre	1	MIXS:0000168	inside lux light
built environment	int_wall_cond	The physical condition of the wall at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	enumeration	[new|visible wear|needs repair|damaged|rupture]	damaged		1	MIXS:0000813	interior wall condition
built environment	last_clean	The last time the floor was cleaned (swept, mopped, vacuumed)	timestamp	{timestamp}	2018-05-11:T14:30Z		1	MIXS:0000814	last time swept/mopped/vacuumed
built environment	max_occup	The maximum amount of people allowed in the indoor environment	measurement value	{integer}			1	MIXS:0000229	maximum occupancy
built environment	mech_struc	mechanical structure: a moving structure	enumeration	[subway|coach|carriage|elevator|escalator|boat|train|car|bus]	elevator		1	MIXS:0000815	mechanical structure
built environment	number_plants	The number of plant(s) in the sampling space	measurement value	{integer}			1	MIXS:0000230	number of houseplants
built environment	number_pets	The number of pets residing in the sampled space	measurement value	{integer}			1	MIXS:0000231	number of pets
built environment	number_resident	The number of individuals currently occupying in the sampling location	measurement value	{integer}			1	MIXS:0000232	number of residents
built environment	occup_document	The type of documentation of occupancy	enumeration	[automated count|estimate|manual count|videos]	estimate		1	MIXS:0000816	occupancy documentation
built environment	ext_wall_orient	The orientation of the exterior wall	enumeration	[north|south|east|west|northeast|southeast|southwest|northwest]	northwest		1	MIXS:0000817	orientations of exterior wall
built environment	ext_window_orient	The compass direction the exterior window of the room is facing	enumeration	[north|south|east|west|northeast|southeast|southwest|northwest]	southwest		1	MIXS:0000818	orientations of exterior window
built environment	rel_humidity_out	The recorded outside relative humidity value at the time of sampling	measurement value	{float} {unit}	12 per kilogram of air	gram of air, kilogram of air	1	MIXS:0000188	outside relative humidity
built environment	pres_animal_insect	The type and number of animals or insects present in the sampling space.	enumeration;count	[cat|dog|rodent|snake|other];{integer}	cat;5		1	MIXS:0000819	presence of pets, animals, or insects
built environment	quad_pos	The quadrant position of the sampling room within the building	enumeration	[North side|West side|South side|East side]	West side		1	MIXS:0000820	quadrant position
built environment	rel_samp_loc	The sampling location within the train car	enumeration	[edge of car|center of car|under a seat]	center of car		1	MIXS:0000821	relative sampling location
built environment	room_air_exch_rate	The rate at which outside air replaces indoor air in a given space	measurement value	{float} {unit}		liter per hour	1	MIXS:0000169	room air exchange rate
built environment	room_architec_elem	The unique details and component parts that, together, form the architecture of a distinguisahable space within a built structure	free text	{text}			1	MIXS:0000233	room architectural elements
built environment	room_condt	The condition of the room at the time of sampling	enumeration	[new|visible wear|needs repair|damaged|rupture|visible signs of mold/mildew]	new		1	MIXS:0000822	room condition
built environment	room_count	The total count of rooms in the built structure including all room types	value	{integer}			1	MIXS:0000234	room count
built environment	room_dim	The length, width and height of sampling room	measurement value	{integer} {unit} x {integer} {unit} x {integer} {unit}		meter	1	MIXS:0000192	room dimensions
built environment	room_door_dist	Distance between doors (meters) in the hallway between the sampling room and adjacent rooms	measurement value	{integer} {unit}		meter	1	MIXS:0000193	room door distance
built environment	room_loc	The position of the room within the building	enumeration	[corner room|interior room|exterior wall]	interior room		1	MIXS:0000823	room location in building
built environment	room_moist_dam_hist	The history of moisture damage or mold in the past 12 months. Number of events of moisture damage or mold observed	value	{integer}			1	MIXS:0000235	room moisture damage or mold history
built environment	room_net_area	The net floor area of sampling room. Net area excludes wall thicknesses	measurement value	{integer} {unit}		square feet, square meter	1	MIXS:0000194	room net area
built environment	room_occup	Count of room occupancy at time of sampling	measurement value	{integer}			1	MIXS:0000236	room occupancy
built environment	room_samp_pos	The horizontal sampling position in the room relative to architectural elements	enumeration	[north corner|south corner|west corner|east corner|northeast corner|northwest corner|southeast corner|southwest corner|center]	south corner		1	MIXS:0000824	room sampling position
built environment	room_type	The main purpose or activity of the sampling room. A room is any distinguishable space within a structure	enumeration	[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|private office|open office|stairwell|,restroom|lobby|vestibule|mechanical or electrical room|data center|laboratory_wet|laboratory_dry|gymnasium|natatorium|auditorium|lockers|cafe|warehouse]	bathroom		1	MIXS:0000825	room type
built environment	room_vol	Volume of sampling room	measurement value	{integer} {unit}		cubic feet, cubic meter	1	MIXS:0000195	room volume
built environment	room_window_count	Number of windows in the room	value	{integer}			1	MIXS:0000237	room window count
built environment	room_connected	List of rooms connected to the sampling room by a doorway	enumeration	[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|office|stairwell]	office		1	MIXS:0000826	rooms connected by a doorway
built environment	room_hallway	List of room(s) (room number, room name) located in the same hallway as sampling room	room name;room number	{text};{integer}			1	MIXS:0000238	rooms that are on the same hallway
built environment	room_door_share	List of room(s) (room number, room name) sharing a door with the sampling room	room name;room number	{text};{integer}			1	MIXS:0000242	rooms that share a door with sampling room
built environment	room_wall_share	List of room(s) (room number, room name) sharing a wall with the sampling room	room name;room number	{text};{integer}			1	MIXS:0000243	rooms that share a wall with sampling room
built environment	samp_weather	The weather on the sampling day	enumeration	[clear sky|cloudy|foggy|hail|rain|snow|sleet|sunny|windy]	foggy		1	MIXS:0000827	sampling day weather
built environment	samp_floor	The floor of the building, where the sampling room is located	enumeration	[1st floor|2nd floor|{integer} floor|basement|lobby]	4th floor		1	MIXS:0000828	sampling floor
built environment	samp_room_id	Sampling room number. This ID should be consistent with the designations on the building floor plans	value	{integer}			1	MIXS:0000244	sampling room ID or name
built environment	samp_time_out	The recent and long term history of outside sampling	time	{float}		hour	1	MIXS:0000196	sampling time outside
built environment	season	The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).	NCIT:C94729	{termLabel} {[termID]}	autumn [NCIT:C94733]		1	MIXS:0000829	season
built environment	season_use	The seasons the space is occupied	enumeration	[Spring|Summer|Fall|Winter]	Winter		1	MIXS:0000830	seasonal use
built environment	shading_device_cond	The physical condition of the shading device at the time of sampling	enumeration	[damaged|needs repair|new|rupture|visible wear]	new		1	MIXS:0000831	shading device condition
built environment	shading_device_loc	The location of the shading device in relation to the built structure	enumeration	[exterior|interior]	exterior		1	MIXS:0000832	shading device location
built environment	shading_device_mat	The material the shading device is composed of	material name	{text}			1	MIXS:0000245	shading device material
built environment	shad_dev_water_mold	Signs of the presence of mold or mildew on the shading device	enumeration	[presence of mold visible|no presence of mold visible]	no presence of mold visible		1	MIXS:0000834	shading device signs of water/mold
built environment	shading_device_type	The type of shading device	enumeration	[bahama shutters|exterior roll blind|gambrel awning|hood awning|porchroller awning|sarasota shutters|slatted aluminum|solid aluminum awning|sun screen|tree|trellis|venetian awning]	slatted aluminum awning		1	MIXS:0000835	shading device type
built environment	specific_humidity	The mass of water vapour in a unit mass of moist air, usually expressed as grams of vapour per kilogram of air, or, in air conditioning, as grains per pound.	measurement value	{float} {unit}	15 per kilogram of air	gram of air, kilogram of air	1	MIXS:0000214	specific humidity
built environment	specific	The building specifications. If design is chosen, indicate phase: conceptual, schematic, design development, construction documents	enumeration	[operation|as built|construction|bid|design|photos]	construction		1	MIXS:0000836	specifications
