class	slot	recommended	required	slot_uri	checklist	slot notes	instance notes	scn token inconsistencies	sheet	MIXS ID	Environmental package	Structured comment name	Item (rdfs:label) / Package item	Definition	Expected value	Value syntax	Example	Section	Requirement	migs_eu	migs_ba	migs_pl	migs_vi	migs_org	mims	mimarks_s	mimarks_c	misag	mimag	miuvig	Preferred unit	Occurence/Occurrence
HydrocarbonResourcesFluidsSwabs	biocide_admin_method	TRUE		MIXS:0000456					environmental_packages	MIXS:0000456	hydrocarbon resources-fluids/swabs	biocide_admin_method	biocide administration method	Method of biocide administration (dose, frequency, duration, time elapsed between last biociding and sampling) (e.g. 150 mg/l; weekly; 4 hr; 3 days)	measurement value;frequency;duration;duration	{float} {unit};{Rn/start_time/end_time/duration};{duration}			C												milligram per liter	1
Agriculture	biotic_relationship	TRUE		MIXS:0000028					environmental_packages	MIXS:0000028	agriculture	biotic_relationship	observed biotic relationship	Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	enumeration	[free living|parasite|commensal|symbiont]			C													1
Agriculture	climate_environment	TRUE		MIXS:0001040					environmental_packages	MIXS:0001040	agriculture	climate_environment	climate environment	Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates	climate name;treatment duration;interval;experimental duration	{text};{period};{interval};{period}			C													m
Agriculture	crop_rotation	TRUE		MIXS:0000318					environmental_packages	MIXS:0000318	agriculture	crop_rotation	history/crop rotation	Whether or not crop is rotated, and if yes, rotation schedule	crop rotation status;schedule	{boolean};Rn/{timestamp}/{period}			C													1
Agriculture	cur_vegetation	TRUE		MIXS:0000312					environmental_packages	MIXS:0000312	agriculture	cur_vegetation	current vegetation	Vegetation classification from one or more standard classification systems, or agricultural crop	current vegetation type	{text}			C													1
Agriculture	cur_vegetation_meth	TRUE		MIXS:0000314					environmental_packages	MIXS:0000314	agriculture	cur_vegetation_meth	current vegetation method	Reference or method used in vegetation classification	PMID,DOI or url	{PMID|DOI|URL}			C													1
HydrocarbonResourcesCores	depos_env	TRUE		MIXS:0000992					environmental_packages	MIXS:0000992	hydrocarbon resources-cores	depos_env	depositional environment	"Main depositional environment (https://en.wikipedia.org/wiki/Depositional_environment). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Continental - Alluvial|Continental - Aeolian|Continental - Fluvial|Continental - Lacustrine|Transitional - Deltaic|Transitional - Tidal|Transitional - Lagoonal|Transitional - Beach|Transitional - Lake|Marine - Shallow|Marine - Deep|Marine - Reef|Other - Evaporite|Other - Glacial|Other - Volcanic|other]	Continental - Alluvial		C													1
HydrocarbonResourcesFluidsSwabs	depos_env	TRUE		MIXS:0000992					environmental_packages	MIXS:0000992	hydrocarbon resources-fluids/swabs	depos_env	depositional environment	"Main depositional environment (https://en.wikipedia.org/wiki/Depositional_environment). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Continental - Alluvial|Continental - Aeolian|Continental - Fluvial|Continental - Lacustrine|Transitional - Deltaic|Transitional - Tidal|Transitional - Lagoonal|Transitional - Beach|Transitional - Lake|Marine - Shallow|Marine - Deep|Marine - Reef|Other - Evaporite|Other - Glacial|Other - Volcanic|other]	Marine - Reef		C													1
HydrocarbonResourcesCores	diss_inorg_phosp	TRUE		MIXS:0000106					environmental_packages	MIXS:0000106	hydrocarbon resources-cores	diss_inorg_phosp	dissolved inorganic phosphorus	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter		C												microgram per liter, milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	diss_inorg_phosp	TRUE		MIXS:0000106					environmental_packages	MIXS:0000106	hydrocarbon resources-fluids/swabs	diss_inorg_phosp	dissolved inorganic phosphorus	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter		C												microgram per liter, milligram per liter, parts per million	1
HydrocarbonResourcesCores	diss_iron	TRUE		MIXS:0000139					environmental_packages	MIXS:0000139	hydrocarbon resources-cores	diss_iron	dissolved iron	Concentration of dissolved iron in the sample	measurement value	{float} {unit}			C												milligram per liter	1
HydrocarbonResourcesFluidsSwabs	diss_iron	TRUE		MIXS:0000139					environmental_packages	MIXS:0000139	hydrocarbon resources-fluids/swabs	diss_iron	dissolved iron	Concentration of dissolved iron in the sample	measurement value	{float} {unit}			C												milligram per liter	1
Agriculture	drainage_class	TRUE		MIXS:0001085					environmental_packages	MIXS:0001085	agriculture	drainage_class	drainage classification	Drainage classification from a standard system such as the USDA system	enumeration	[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]			C													1
Air	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	air	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
HostAssociated	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	host-associated	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
MicrobialMatBiofilm	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	microbial mat/biofilm	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
MiscellaneousNaturalOrArtificialEnvironment	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	miscellaneous natural or artificial environment	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
PlantAssociated	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	plant-associated	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
Sediment	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	sediment	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
SymbiontAssociated	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	symbiont-associated	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	measurement value	{float} {unit}	100 meter		C												meter	
Water	elev	TRUE		MIXS:0000093					environmental_packages	MIXS:0000093	water	elev	elevation	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter		C												meter	1
Agriculture	enrichment_protocol	TRUE		MIXS:0001177					environmental_packages	MIXS:0001177	agriculture	enrichment_protocol	enrichment protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s). Please provide a PubMed or DOI reference for published protocols.	PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria		C													1
HydrocarbonResourcesCores	ethylbenzene	TRUE		MIXS:0000155					environmental_packages	MIXS:0000155	hydrocarbon resources-cores	ethylbenzene	ethylbenzene	Concentration of ethylbenzene in the sample	measurement value	{float} {unit}			C												milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	ethylbenzene	TRUE		MIXS:0000155					environmental_packages	MIXS:0000155	hydrocarbon resources-fluids/swabs	ethylbenzene	ethylbenzene	Concentration of ethylbenzene in the sample	measurement value	{float} {unit}			C												milligram per liter, parts per million	1
Agriculture	extreme_event	TRUE		MIXS:0000320					environmental_packages	MIXS:0000320	agriculture	extreme_event	history/extreme events	Unusual physical events that may have affected microbial populations	date	{timestamp}			C													1
Agriculture	fao_class	TRUE		MIXS:0001083					environmental_packages	MIXS:0001083	agriculture	fao_class	soil_taxonomic/FAO classification	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups	enumeration	{term}			C													1
Agriculture	farm_water_source	TRUE		MIXS:0001110					environmental_packages	MIXS:0001110	agriculture	farm_water_source	farm watering water source	Source of water used on the farm for irrigation of crops or watering of livestock.	enumeration	[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	water well (ENVO:01000002)		C													m
FoodFarmEnvironment	farm_water_source	TRUE		MIXS:0001110					environmental_packages	MIXS:0001110	food-farm environment	farm_water_source	farm watering water source	Source of water used on the farm for irrigation of crops or watering of livestock.	enumeration	[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	water well (ENVO:01000002)		C													m
FoodHumanFoods	ferm_chem_add	TRUE		MIXS:0001185					environmental_packages	MIXS:0001185	food-human foods	ferm_chem_add	fermentation chemical additives	Any chemicals that are added to the fermentation process to achieve the desired final product.	chemical ingredient	{float} {unit}	salt		C													m
FoodHumanFoods	ferm_chem_add_perc	TRUE		MIXS:0001186					environmental_packages	MIXS:0001186	food-human foods	ferm_chem_add_perc	fermentation chemical additives percentage	The amount of chemical added to the fermentation process.	value	{float} percentage	0.01		C												percentage	m
FoodHumanFoods	ferm_headspace_oxy	TRUE		MIXS:0001187					environmental_packages	MIXS:0001187	food-human foods	ferm_headspace_oxy	fermentation headspace oxygen	The amount of headspace oxygen in a fermentation vessel.	value	{float} percentage	0.05		C												percentage	1
FoodHumanFoods	ferm_medium	TRUE		MIXS:0001188					environmental_packages	MIXS:0001188	food-human foods	ferm_medium	fermentation medium	The growth medium used for the fermented food fermentation process, which supplies the required nutrients.  Usually this includes a carbon and nitrogen source, water, micronutrients and chemical additives.	growth medium	{text}	molasses		C													1
FoodHumanFoods	ferm_pH	TRUE		MIXS:0001189					environmental_packages	MIXS:0001189	food-human foods	ferm_pH	fermentation pH	The pH of the fermented food fermentation process.	measurement value	{float}	4.5		C													1
FoodHumanFoods	ferm_rel_humidity	TRUE		MIXS:0001190					environmental_packages	MIXS:0001190	food-human foods	ferm_rel_humidity	fermentation relative humidity	The relative humidity of the fermented food fermentation process.	measurement value	{float} {unit}	95% RH		C												percentage	1
FoodHumanFoods	ferm_temp	TRUE		MIXS:0001191					environmental_packages	MIXS:0001191	food-human foods	ferm_temp	fermentation temperature	The temperature of the fermented food fermentation process.	measurement value	{float} {unit}	22 degrees Celsius		C												degree Celsius	1
FoodHumanFoods	ferm_time	TRUE		MIXS:0001192					environmental_packages	MIXS:0001192	food-human foods	ferm_time	fermentation time	The time duration of the fermented food fermentation process.	duration	{duration}	P10D		C												days	1
FoodHumanFoods	ferm_vessel	TRUE		MIXS:0001193					environmental_packages	MIXS:0001193	food-human foods	ferm_vessel	fermentation vessel	The type of vessel used for containment of the fermentation.	text	{text}	steel drum		C													1
HydrocarbonResourcesCores	field	TRUE		MIXS:0000291					environmental_packages	MIXS:0000291	hydrocarbon resources-cores	field	field name	Name of the hydrocarbon field (e.g. Albacora)	name	{text}			C													1
HydrocarbonResourcesFluidsSwabs	field	TRUE		MIXS:0000291					environmental_packages	MIXS:0000291	hydrocarbon resources-fluids/swabs	field	field name	Name of the hydrocarbon field (e.g. Albacora)	name	{text}			C													1
Agriculture	fire	TRUE		MIXS:0001086					environmental_packages	MIXS:0001086	agriculture	fire	history/fire	Historical and/or physical evidence of fire	date	{timestamp}			C													1
Agriculture	flooding	TRUE		MIXS:0000319					environmental_packages	MIXS:0000319	agriculture	flooding	history/flooding	Historical and/or physical evidence of flooding	date	{timestamp}			C													1
Agriculture	fungicide_regm	TRUE		MIXS:0000557					environmental_packages	MIXS:0000557	agriculture	fungicide_regm	fungicide regimen	Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens	fungicide name;fungicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}			C												gram, mole per liter, milligram per liter	m
Agriculture	gaseous_environment	TRUE		MIXS:0000558					environmental_packages	MIXS:0000558	agriculture	gaseous_environment	gaseous environment	Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}			C												micromole per liter	m
HydrocarbonResourcesCores	hcr_fw_salinity	TRUE		MIXS:0000406					environmental_packages	MIXS:0000406	hydrocarbon resources-cores	hcr_fw_salinity	formation water salinity	Original formation water salinity (prior to secondary recovery e.g. Waterflooding) expressed as TDS	measurement value	{float} {unit}			C												milligram per liter	1
HydrocarbonResourcesFluidsSwabs	hcr_fw_salinity	TRUE		MIXS:0000406					environmental_packages	MIXS:0000406	hydrocarbon resources-fluids/swabs	hcr_fw_salinity	formation water salinity	Original formation water salinity (prior to secondary recovery e.g. Waterflooding) expressed as TDS	measurement value	{float} {unit}			C												milligram per liter	1
HydrocarbonResourcesCores	hcr_geol_age	TRUE		MIXS:0000993					environmental_packages	MIXS:0000993	hydrocarbon resources-cores	hcr_geol_age	hydrocarbon resource geological age	"Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Archean|Cambrian|Carboniferous|Cenozoic|Cretaceous|Devonian|Jurassic|Mesozoic|Neogene|Ordovician|Paleogene|Paleozoic|Permian|Precambrian|Proterozoic|Silurian|Triassic|other]	Silurian		C													1
HydrocarbonResourcesFluidsSwabs	hcr_geol_age	TRUE		MIXS:0000993					environmental_packages	MIXS:0000993	hydrocarbon resources-fluids/swabs	hcr_geol_age	hydrocarbon resource geological age	"Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Archean|Cambrian|Carboniferous|Cenozoic|Cretaceous|Devonian|Jurassic|Mesozoic|Neogene|Ordovician|Paleogene|Paleozoic|Permian|Precambrian|Proterozoic|Silurian|Triassic|other]	Silurian		C													1
HydrocarbonResourcesFluidsSwabs	hcr_temp	TRUE		MIXS:0000393					environmental_packages	MIXS:0000393	hydrocarbon resources-fluids/swabs	hcr_temp	hydrocarbon resource original temperature	Original temperature of the hydrocarbon resource	measurement value range	{float} - {float} {unit}	150-295 degree Celsius		C												degree Celsius	1
Agriculture	heavy_metals_meth	TRUE		MIXS:0000343					environmental_packages	MIXS:0000343	agriculture	heavy_metals_meth	extreme_unusual_conditions	Reference or method used in determining heavy metals	PMID,DOI or url	{PMID|DOI|URL}			C													1
Agriculture	herbicide_regm	TRUE		MIXS:0000561					environmental_packages	MIXS:0000561	agriculture	herbicide_regm	herbicide regimen	Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	herbicide name;herbicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}			C												gram, mole per liter, milligram per liter	m
Agriculture	horizon_meth	TRUE		MIXS:0000321					environmental_packages	MIXS:0000321	agriculture	horizon_meth	horizon method	Reference or method used in determining the horizon	PMID,DOI or url	{PMID|DOI|URL}			C													1
SymbiontAssociated	host_cellular_loc	TRUE		MIXS:0001313					environmental_packages	MIXS:0001313	symbiont-associated	host_cellular_loc	host cellular location	The localization of the symbiotic host organism within the host from which it was sampled: e.g. intracellular if the symbiotic host organism is localized within the cells or extracellular if the symbiotic host organism is localized outside of cells.	enumeration	[intracellular|extracellular|not determined]	extracellular		C													
Agriculture	host_disease_stat	TRUE		MIXS:0000031					environmental_packages	MIXS:0000031	agriculture	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text	disease name or DO	{text}|{termLabel} {[termID]}	downy mildew		C													m
FoodFarmEnvironment	host_disease_stat	TRUE		MIXS:0000031					environmental_packages	MIXS:0000031	food-farm environment	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text.	disease name or Disease Ontology term	{text}|{termLabel} {[termID]}	downy mildew		C													1
SymbiontAssociated	host_specificity	TRUE		MIXS:0001308					environmental_packages	MIXS:0001308	symbiont-associated	host_specificity	host specificity	Level of specificity of symbiont-host interaction: e.g. generalist (symbiont able to establish associations with distantly related hosts) or species-specific.	enumeration	[family-specific|generalist||genus-specific|species-specific]	species-specific		C													1
Agriculture	humidity	TRUE		MIXS:0000100					environmental_packages	MIXS:0000100	agriculture	humidity	humidity	Amount of water vapour in the air, at the time of sampling.	measurement value	{float} {unit}	30% relative humidity		C												percentage	1
BuiltEnvironment	indoor_surf	TRUE		MIXS:0000764					environmental_packages	MIXS:0000764	built environment	indoor_surf	indoor surface	Type of indoor surface	enumeration	[cabinet|ceiling|counter top|door|shelving|vent cover|window|wall]	wall		E													1
Agriculture	lib_layout	TRUE		MIXS:0000041					environmental_packages	MIXS:0000041	agriculture	lib_layout	library layout	Specify whether to expect single, paired, or other configuration of reads	enumeration	[paired|single|vector|other]	paired		C													1
HydrocarbonResourcesCores	lithology	TRUE		MIXS:0000990					environmental_packages	MIXS:0000990	hydrocarbon resources-cores	lithology	lithology	"Hydrocarbon resource main lithology (Additional information: http://petrowiki.org/Lithology_and_rock_type_determination). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Basement|Chalk|Chert|Coal|Conglomerate|Diatomite|Dolomite|Limestone|Sandstone|Shale|Siltstone|Volcanic|other]	Volcanic		C													1
HydrocarbonResourcesFluidsSwabs	lithology	TRUE		MIXS:0000990					environmental_packages	MIXS:0000990	hydrocarbon resources-fluids/swabs	lithology	lithology	"Hydrocarbon resource main lithology (Additional information: http://petrowiki.org/Lithology_and_rock_type_determination). If ""other"" is specified, please propose entry in ""additional info"" field"	enumeration	[Basement|Chalk|Chert|Coal|Conglomerate|Diatomite|Dolomite|Limestone|Sandstone|Shale|Siltstone|Volcanic|other]	Volcanic		C													1
Agriculture	local_class	TRUE		MIXS:0000330					environmental_packages	MIXS:0000330	agriculture	local_class	soil_taxonomic/local classification	Soil classification based on local soil classification system	local classification name	{text}			C													1
Agriculture	local_class_meth	TRUE		MIXS:0000331					environmental_packages	MIXS:0000331	agriculture	local_class_meth	soil_taxonomic/local classification method	Reference or method used in determining the local soil classification	PMID,DOI or url	{PMID|DOI|URL}			C													1
SymbiontAssociated	mode_transmission	TRUE		MIXS:0001312					environmental_packages	MIXS:0001312	symbiont-associated	mode_transmission	mode of transmission	The process through which the symbiotic host organism entered the host from which it was sampled.	enumeration	[horizontal:castrator|horizontal:directly transmitted|horizontal:micropredator|horizontal:parasitoid|horizontal:trophically transmitted|horizontal:vector transmitted|vertical]	horizontal:castrator		C													
HydrocarbonResourcesCores	nitrate	TRUE		MIXS:0000425					environmental_packages	MIXS:0000425	hydrocarbon resources-cores	nitrate	nitrate	Concentration of nitrate in the sample	measurement value	{float} {unit}	65 micromole per liter		C												micromole per liter, milligram per liter, parts per million	1
HydrocarbonResourcesCores	nitrite	TRUE		MIXS:0000426					environmental_packages	MIXS:0000426	hydrocarbon resources-cores	nitrite	nitrite	Concentration of nitrite in the sample	measurement value	{float} {unit}	0.5 micromole per liter		C												micromole per liter, milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	nitrite	TRUE		MIXS:0000426					environmental_packages	MIXS:0000426	hydrocarbon resources-fluids/swabs	nitrite	nitrite	Concentration of nitrite in the sample	measurement value	{float} {unit}	0.5 micromole per liter		C												micromole per liter, milligram per liter, parts per million	1
Agriculture	non_mineral_nutr_regm	TRUE		MIXS:0000571					environmental_packages	MIXS:0000571	agriculture	non_mineral_nutr_regm	non-mineral nutrient regimen	Information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple non-mineral nutrient regimens	non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}			C												gram, mole per liter, milligram per liter	m
Agriculture	organism_count	TRUE		MIXS:0000103					environmental_packages	MIXS:0000103	agriculture	organism_count	organism count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR		C												number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	
