MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0000338	tot_nitro_cont_meth	total nitrogen content method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining the total nitrogen.
MIXS:0001107	samp_name	sample name 	text	{text}	1	 	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.
MIXS:0000530	tot_nitro_content	total nitrogen content	measurement value	{float} {unit}	1	microgram per liter, micromole per liter, milligram per liter	Total nitrogen content of the sample.
MIXS:0000645	season_precpt	mean seasonal precipitation	measurement value	{float} {unit}	1	millimeter	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.
MIXS:0000093	elev	elevation	measurement value	{float} {unit}	1		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.
MIXS:0000001	samp_size	amount or size of sample collected	measurement value	{float} {unit}	1	millliter, gram, milligram, liter	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
MIXS:0000205	org_nitro	organic nitrogen	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Concentration of organic nitrogen
MIXS:0000645	season_precpt	mean seasonal precipitation	measurement value	{float} {unit}	m	millimeter	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.
MIXS:0000533	tot_org_carb	total organic carbon	percent TOC	{float} {unit}	1	gram Carbon per kilogram sample material	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content.
MIXS:0000111	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	measurement value	{float} {unit}	1	milliliter, gram, milligram, square centimeter	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).
MIXS:0000530	tot_nitro_content	total nitrogen content	measurement value	{float} {unit}	m	milligrams Nitrogen per kilogram of soil	Total nitrogen content of the sample.
MIXS:0000093	elev	elevation	measurement value	{float} {unit}	1	meter	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.
MIXS:0000205	org_nitro	organic nitrogen	measurement value	{float} {unit}	1	microgram per liter	Concentration of organic nitrogen
MIXS:0000332	soil_type	soil type	ENVO_00001998	"{termLabel} {[termID]}
"	1		Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998). Multiple terms can be separated by pipes.
MIXS:0000204	org_matter	organic matter	measurement value	{float} {unit}	1	microgram per liter, milligram per cubic meter	Concentration of organic matter
MIXS:0000183	salinity	salinity	measurement value	{float} {unit}	1	practical salinity unit, percentage	Salinity is the total concentration of all dissolved salts in a water sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater
MIXS:0000111	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	measurement value	{float} {unit}	1	millliter, gram, milligram, square centimeter	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).
MIXS:0000018	depth	depth	measurement value	{float} {unit}	1		The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.
MIXS:0000001	samp_size	amount or size of sample collected	measurement value	{float} {unit}	1	liter, gram, cm^2	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
MIXS:0000031	host_disease_stat	host disease status	disease name or Disease Ontology term	{text}|{termLabel} {[termID]}	1		List of diseases with which the host has been diagnosed;can include multiple diagnoses. The value of the field depends on host;for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text.
MIXS:0000533	tot_org_carb	total organic carbon	percent TOC	{percentage}	1	gram Carbon per kilogram sample material	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content.
MIXS:0000338	tot_nitro_cont_meth	total nitrogen content method	PMID,DOI or url	{PMID}|{DOI}|{URL}	m		Reference or method used in determining the total nitrogen.
