Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
soil	agrochem_addition	Addition of fertilizers, pesticides, etc. - amount and time of applications	agrochemical name;agrochemical amount;timestamp	{text};{float} {unit};{timestamp}	roundup;5 milligram per liter;2018-06-21	gram, mole per liter, milligram per liter	m	MIXS:0000639	history/agrochemical additions
soil	tillage	Note method(s) used for tilling	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	chisel		m	MIXS:0001081	history/tillage
soil	fire	Historical and/or physical evidence of fire	date	{timestamp}			1	MIXS:0001086	history/fire
soil	flooding	Historical and/or physical evidence of flooding	date	{timestamp}			1	MIXS:0000319	history/flooding
soil	extreme_event	Unusual physical events that may have affected microbial populations	date	{timestamp}			1	MIXS:0000320	history/extreme events
soil	soil_horizon	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath	enumeration	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	A horizon		1	MIXS:0001082	soil horizon
soil	horizon_meth	Reference or method used in determining the horizon	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000321	soil horizon method
soil	sieving	Collection design of pooled samples and/or sieve size and amount of sample sieved	design name and/or size;amount	{{text}|{float} {unit}};{float} {unit}			1	MIXS:0000322	composite design/sieving
soil	water_content	Water content measurement	measurement value	{float}		gram per gram or cubic centimeter per cubic centimeter	1	MIXS:0000185	water content
soil	water_cont_soil_meth	Reference or method used in determining the water content of soil	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000323	water content method
soil	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	millliter, gram, milligram, square centimeter	1	MIXS:0000111	sample volume or weight for DNA extraction
soil	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given	pooling status;number of pooled extracts	{boolean};{integer}	yes;5		1	MIXS:0000325	pooling of DNA extracts (if done)
soil	store_cond	Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other).	storage condition type;duration	{text};{duration}	-20 degree Celsius freezer;P2Y10D		1	MIXS:0000327	storage conditions
soil	link_climate_info	Link to climate resource	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000328	link to climate information
soil	annual_temp	Mean annual temperature	measurement value	{float} {unit}	12.5 degree Celsius	degree Celsius	1	MIXS:0000642	mean annual temperature
soil	season_temp	Mean seasonal temperature	measurement value	{float} {unit}	18 degree Celsius	degree Celsius	1	MIXS:0000643	mean seasonal temperature
soil	annual_precpt	The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.	measurement value	{float} {unit}		millimeter	1	MIXS:0000644	mean annual precipitation
soil	season_precpt	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.	measurement value	{float} {unit}		millimeter	1	MIXS:0000645	mean seasonal precipitation
soil	link_class_info	Link to digitized soil maps or other soil classification information	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000329	link to classification information
soil	fao_class	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups	enumeration	[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols]	Luvisols		1	MIXS:0001083	soil_taxonomic/FAO classification
soil	local_class	Soil classification based on local soil classification system	local classification name	{text}			1	MIXS:0000330	soil_taxonomic/local classification
soil	local_class_meth	Reference or method used in determining the local soil classification	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000331	soil_taxonomic/local classification method
soil	org_nitro	Concentration of organic nitrogen	measurement value	{float} {unit}	4 micromole per liter	microgram per liter	1	MIXS:0000205	organic nitrogen
soil	temp	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	degree Celsius	1	MIXS:0000113	temperature
soil	soil_type	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	ENVO_00001998	"{termLabel} {[termID]}
"	plinthosol [ENVO:00002250]		1	MIXS:0000332	soil type
soil	soil_type_meth	Reference or method used in determining soil series name or other lower-level classification	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000334	soil type method
soil	slope_gradient	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer	measurement value	{float} {unit}		percentage	1	MIXS:0000646	slope gradient
soil	slope_aspect	The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.	measurement value	{float} {unit}		degree	1	MIXS:0000647	slope aspect
soil	profile_position	Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas	enumeration	[summit|shoulder|backslope|footslope|toeslope]	summit		1	MIXS:0001084	profile position
soil	drainage_class	Drainage classification from a standard system such as the USDA system	enumeration	[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]	well		1	MIXS:0001085	drainage classification
soil	soil_text_measure	The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.	measurement value	{float} {unit}			1	MIXS:0000335	soil texture measurement
soil	soil_texture_meth	Reference or method used in determining soil texture	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000336	soil texture method
soil	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	measurement value	{float}	7.2		1	MIXS:0001001	pH
soil	ph_meth	Reference or method used in determining ph	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0001106	pH method
soil	org_matter	Concentration of organic matter	measurement value	{float} {unit}	1.75 milligram per cubic meter	microgram per liter	1	MIXS:0000204	organic matter
soil	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	measurement value	{float} {unit}		gram Carbon per kilogram sample material	1	MIXS:0000533	total organic carbon
soil	tot_org_c_meth	Reference or method used in determining total organic carbon	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000337	total organic carbon method
soil	tot_nitro_content	Total nitrogen content of the sample	measurement value	{float} {unit}		microgram per liter, micromole per liter, milligram per liter	1	MIXS:0000530	total nitrogen content
soil	tot_nitro_cont_meth	Reference or method used in determining the total nitrogen	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000338	total nitrogen content method
soil	microbial_biomass	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	measurement value	{float} {unit}		ton, kilogram, gram per kilogram soil	1	MIXS:0000650	microbial biomass
soil	micro_biomass_meth	Reference or method used in determining microbial biomass	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000339	microbial biomass method
soil	link_addit_analys	Link to additional analysis results performed on the sample	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000340	links to additional analysis
soil	salinity_meth	Reference or method used in determining salinity	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000341	salinity method
soil	heavy_metals	Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field.	heavy metal name;measurement value unit	{text};{float} {unit}	mercury;0.09 micrograms per gram	microgram per gram	m	MIXS:0000652	extreme_unusual_properties/heavy metals
soil	heavy_metals_meth	Reference or method used in determining heavy metals	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000343	extreme_unusual_properties/heavy metals method
soil	al_sat	Aluminum saturation (esp. For tropical soils)	measurement value	{float} {unit}		percentage	1	MIXS:0000607	extreme_unusual_properties/Al saturation
soil	al_sat_meth	Reference or method used in determining Al saturation	PMID,DOI or URL	{PMID}|{DOI}|{URL}			1	MIXS:0000324	extreme_unusual_properties/Al saturation method
soil	misc_param	Any other measurement performed or parameter collected, that is not listed here	parameter name;measurement value	{text};{float} {unit}	Bicarbonate ion concentration;2075 micromole per kilogram		m	MIXS:0000752	miscellaneous parameter
water	samp_name	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	text	{text}	ISDsoil1		1	MIXS:0001107	sample name 
water	project_name	Name of the project within which the sequencing was organized.	text	{text}	Forest soil metagenome		1	MIXS:0000092	project name
water	depth	The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	measurement value	{float} {unit}	10 meter	meter	1	MIXS:0000018	depth
water	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter	meter	1	MIXS:0000093	elevation
water	alkalinity	Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	measurement value	{float} {unit}	50 milligram per liter	milliequivalent per liter, milligram per liter	1	MIXS:0000421	alkalinity
water	alkalinity_method	Method used for alkalinity measurement	description of method	{text}	titration		1	MIXS:0000298	alkalinity method
water	alkyl_diethers	Concentration of alkyl diethers	measurement value	{float} {unit}	0.005 mole per liter	mole per liter, microgram per gram sample	1	MIXS:0000490	alkyl diethers
water	aminopept_act	Measurement of aminopeptidase activity	measurement value	{float} {unit}	0.269 mole per liter per hour	mole per liter per hour	1	MIXS:0000172	aminopeptidase activity
water	ammonium	Concentration of ammonium in the sample	measurement value	{float} {unit}	1.5 milligram per liter	micromole per liter, milligram per liter, parts per million	1	MIXS:0000427	ammonium
water	atmospheric_data	Measurement of atmospheric data; can include multiple data	atmospheric data name;measurement value	{text};{float} {unit}	wind speed;9 knots		m	MIXS:0001097	atmospheric data
water	bacteria_carb_prod	Measurement of bacterial carbon production	measurement value	{float} {unit}	2.53 microgram per liter per hour	nanogram per hour, microgram per liter per hour	1	MIXS:0000173	bacterial carbon production
water	bac_prod	Bacterial production in the water column measured by isotope uptake	measurement value	{float} {unit}	5 milligram per cubic meter per day	milligram per cubic meter per day	1	MIXS:0000683	bacterial production
water	bac_resp	Measurement of bacterial respiration in the water column	measurement value	{float} {unit}	300 micromole oxygen per liter per hour	milligram per cubic meter per day, micromole oxygen per liter per hour	1	MIXS:0000684	bacterial respiration
water	biomass	Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	biomass type;measurement value	{text};{float} {unit}	total;20 gram	ton, kilogram, gram	m	MIXS:0000174	biomass
water	bishomohopanol	Concentration of bishomohopanol	measurement value	{float} {unit}	14 microgram per liter	microgram per liter, microgram per gram	1	MIXS:0000175	bishomohopanol
water	bromide	Concentration of bromide	measurement value	{float} {unit}	0.05 parts per million	parts per million	1	MIXS:0000176	bromide
water	calcium	Concentration of calcium in the sample	measurement value	{float} {unit}	0.2 micromole per liter	milligram per liter, micromole per liter, parts per million	1	MIXS:0000432	calcium
water	carb_nitro_ratio	Ratio of amount or concentrations of carbon to nitrogen	measurement value	{float}:{float}	0.417361111		1	MIXS:0000310	carbon/nitrogen ratio
water	chem_administration	List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z		m	MIXS:0000751	chemical administration
water	chloride	Concentration of chloride in the sample	measurement value	{float} {unit}	5000 milligram per liter	milligram per liter, parts per million	1	MIXS:0000429	chloride
water	chlorophyll	Concentration of chlorophyll	measurement value	{float} {unit}	5 milligram per cubic meter	milligram per cubic meter, microgram per liter	1	MIXS:0000177	chlorophyll
water	conduc	Electrical conductivity of water	measurement value	{float} {unit}	10 milliSiemens per centimeter	milliSiemens per centimeter	1	MIXS:0000692	conductivity
water	density	Density of the sample, which is its mass per unit volume (aka volumetric mass density)	measurement value	{float} {unit}	1000 kilogram per cubic meter	gram per cubic meter, gram per cubic centimeter, kilogram per cubic meter	1	MIXS:0000435	density
water	diether_lipids	Concentration of diether lipids; can include multiple types of diether lipids	diether lipid name;measurement value	{text};{float} {unit}	0.2 nanogram per liter	nanogram per liter	m	MIXS:0000178	diether lipids
water	diss_carb_dioxide	Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	measurement value	{float} {unit}	5 milligram per liter	micromole per liter, milligram per liter	1	MIXS:0000436	dissolved carbon dioxide
water	diss_hydrogen	Concentration of dissolved hydrogen	measurement value	{float} {unit}	0.3 micromole per liter	micromole per liter	1	MIXS:0000179	dissolved hydrogen
water	diss_inorg_carb	Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter	measurement value	{float} {unit}	2059 micromole per kilogram	microgram per liter, milligram per liter, parts per million, micromole per kilogram	1	MIXS:0000434	dissolved inorganic carbon
water	diss_inorg_nitro	Concentration of dissolved inorganic nitrogen	measurement value	{float} {unit}	761 micromole per liter	microgram per liter, micromole per liter	1	MIXS:0000698	dissolved inorganic nitrogen
water	diss_inorg_phosp	Concentration of dissolved inorganic phosphorus in the sample	measurement value	{float} {unit}	56.5 micromole per liter	microgram per liter, milligram per liter, parts per million, micromole per liter	1	MIXS:0000106	dissolved inorganic phosphorus
water	diss_org_carb	Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid	measurement value	{float} {unit}	197 micromole per liter	micromole per liter, milligram per liter	1	MIXS:0000433	dissolved organic carbon
water	diss_org_nitro	Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	measurement value	{float} {unit}	0.05 micromole per liter	micromole per liter, microgram per liter, milligram per liter	1	MIXS:0000162	dissolved organic nitrogen
water	diss_oxygen	Concentration of dissolved oxygen	measurement value	{float} {unit}	175 micromole per kilogram	micromole per kilogram, milligram per liter	1	MIXS:0000119	dissolved oxygen
water	down_par	Visible waveband radiance and irradiance measurements in the water column	measurement value	{float} {unit}	28.71 microEinstein per square meter per second	microEinstein per square meter per second, microEinstein per square centimeter per second	1	MIXS:0000703	downward PAR
water	fluor	Raw or converted fluorescence of water	measurement value	{float} {unit}	2.5 volts	milligram chlorophyll a per cubic meter, volts	1	MIXS:0000704	fluorescence
water	glucosidase_act	Measurement of glucosidase activity	measurement value	{float} {unit}	5 mol per liter per hour	mol per liter per hour	1	MIXS:0000137	glucosidase activity
water	light_intensity	Measurement of light intensity	measurement value	{float} {unit}	0.3 lux	lux	1	MIXS:0000706	light intensity
water	magnesium	Concentration of magnesium in the sample	measurement value	{float} {unit}	52.8 micromole per kilogram	mole per liter, milligram per liter, parts per million, micromole per kilogram	1	MIXS:0000431	magnesium
water	mean_frict_vel	Measurement of mean friction velocity	measurement value	{float} {unit}	0.5 meter per second	meter per second	1	MIXS:0000498	mean friction velocity
water	mean_peak_frict_vel	Measurement of mean peak friction velocity	measurement value	{float} {unit}	1 meter per second	meter per second	1	MIXS:0000502	mean peak friction velocity
water	misc_param	Any other measurement performed or parameter collected, that is not listed here	parameter name;measurement value	{text};{float} {unit}	Bicarbonate ion concentration;2075 micromole per kilogram		m	MIXS:0000752	miscellaneous parameter
water	n_alkanes	Concentration of n-alkanes; can include multiple n-alkanes	n-alkane name;measurement value	{text};{float} {unit}	n-hexadecane;100 milligram per liter	micromole per liter, milligram per liter	m	MIXS:0000503	n-alkanes
water	nitrate	Concentration of nitrate in the sample	measurement value	{float} {unit}	65 micromole per liter	micromole per liter, milligram per liter, parts per million, micromole per kilogram	1	MIXS:0000425	nitrate
water	nitrite	Concentration of nitrite in the sample	measurement value	{float} {unit}	0.5 micromole per liter	micromole per liter, milligram per liter, parts per million, micromole per kilogram	1	MIXS:0000426	nitrite
water	nitro	Concentration of nitrogen (total)	measurement value	{float} {unit}	4.2 micromole per liter	micromole per liter	1	MIXS:0000504	nitrogen
water	org_carb	Concentration of organic carbon	measurement value	{float} {unit}	1.5 microgram per liter	micromole per liter, microgram per liter	1	MIXS:0000508	organic carbon
water	org_matter	Concentration of organic matter	measurement value	{float} {unit}	1.75 milligram per cubic meter	microgram per liter, milligram per cubic meter	1	MIXS:0000204	organic matter
water	org_nitro	Concentration of organic nitrogen	measurement value	{float} {unit}	4 micromole per liter	microgram per liter, micromole per liter	1	MIXS:0000205	organic nitrogen
water	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	m	MIXS:0000103	organism count
water	oxy_stat_samp	Oxygenation status of sample	enumeration	[aerobic|anaerobic|other]	aerobic		1	MIXS:0000753	oxygenation status of sample
water	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	measurement value	{float}	7.2		1	MIXS:0001001	pH
water	part_org_carb	Concentration of particulate organic carbon	measurement value	{float} {unit}	1.92 micromole per liter	microgram per liter, micromole per liter	1	MIXS:0000515	particulate organic carbon
water	part_org_nitro	Concentration of particulate organic nitrogen	measurement value	{float} {unit}	0.3 micromole per liter	microgram per liter, micromole per liter	1	MIXS:0000719	particulate organic nitrogen
water	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	perturbation type name;perturbation interval and duration	{text};{Rn/start_time/end_time/duration}	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M		m	MIXS:0000754	perturbation
water	petroleum_hydrocarb	Concentration of petroleum hydrocarbon	measurement value	{float} {unit}	0.05 micromole per liter	micromole per liter	1	MIXS:0000516	petroleum hydrocarbon
water	phaeopigments	Concentration of phaeopigments; can include multiple phaeopigments	phaeopigment name;measurement value	{text};{float} {unit}	2.5 milligram per cubic meter	milligram per cubic meter	m	MIXS:0000180	phaeopigments
water	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	micromole per liter	1	MIXS:0000505	phosphate
water	phosplipid_fatt_acid	Concentration of phospholipid fatty acids; can include multiple values	phospholipid fatty acid name;measurement value	{text};{float} {unit}	2.98 milligram per liter	mole per gram, mole per liter, milligram per liter	m	MIXS:0000181	phospholipid fatty acid
water	photon_flux	Measurement of photon flux	measurement value	{float} {unit}	3.926 micromole photons per second per square meter	number of photons per second per unit area	1	MIXS:0000725	photon flux
water	potassium	Concentration of potassium in the sample	measurement value	{float} {unit}	463 milligram per liter	milligram per liter, parts per million	1	MIXS:0000430	potassium
water	pressure	Pressure to which the sample is subject to, in atmospheres	measurement value	{float} {unit}	50 atmosphere	atmosphere	1	MIXS:0000412	pressure
water	primary_prod	Measurement of primary production, generally measured as isotope uptake	measurement value	{float} {unit}	100 milligram per cubic meter per day	milligram per cubic meter per day, gram per square meter per day	1	MIXS:0000728	primary production
water	redox_potential	Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	measurement value	{float} {unit}	300 millivolt	millivolt	1	MIXS:0000182	redox potential
water	salinity	Salinity is the total concentration of all dissolved salts in a water sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	measurement value	{float} {unit}	25 practical salinity unit	practical salinity unit, percentage	1	MIXS:0000183	salinity
water	samp_store_dur	Duration for which the sample was stored	duration	{duration}	P1Y6M		1	MIXS:0000116	sample storage duration
water	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	location name	{text}	Freezer no:5		1	MIXS:0000755	sample storage location
water	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	measurement value	{float} {unit}	-80 degree Celsius	degree Celsius	1	MIXS:0000110	sample storage temperature
water	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	millliter, gram, milligram, square centimeter	1	MIXS:0000111	sample volume or weight for DNA extraction
water	silicate	Concentration of silicate	measurement value	{float} {unit}	0.05 micromole per liter	micromole per liter	1	MIXS:0000184	silicate
water	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	value	{float} {unit}	0.2 micrometer	micrometer	1	MIXS:0000735	size-fraction lower threshold
water	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	value	{float} {unit}	20 micrometer	micrometer	1	MIXS:0000736	size-fraction upper threshold
water	sodium	Sodium concentration in the sample	measurement value	{float} {unit}	10.5 milligram per liter	milligram per liter, parts per million	1	MIXS:0000428	sodium
water	soluble_react_phosp	Concentration of soluble reactive phosphorus	measurement value	{float} {unit}	0.1 milligram per liter	micromole per liter, milligram per liter, parts per million	1	MIXS:0000738	soluble reactive phosphorus
water	sulfate	Concentration of sulfate in the sample	measurement value	{float} {unit}	5 micromole per liter	micromole per liter, milligram per liter, parts per million	1	MIXS:0000423	sulfate
water	sulfide	Concentration of sulfide in the sample	measurement value	{float} {unit}	2 micromole per liter	micromole per liter, milligram per liter, parts per million	1	MIXS:0000424	sulfide
water	suspend_part_matter	Concentration of suspended particulate matter	measurement value	{float} {unit}	0.5 milligram per liter	milligram per liter	1	MIXS:0000741	suspended particulate matter
water	temp	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	degree Celsius	1	MIXS:0000113	temperature
water	tidal_stage	Stage of tide	enumeration	[low tide|ebb tide|flood tide|high tide]	high tide		1	MIXS:0000750	tidal stage
water	tot_depth_water_col	Measurement of total depth of water column	measurement value	{float} {unit}	500 meter	meter	1	MIXS:0000634	total depth of water column
water	tot_diss_nitro	Total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen	measurement value	{float} {unit}	40 microgram per liter	microgram per liter	1	MIXS:0000744	total dissolved nitrogen
water	tot_inorg_nitro	Total inorganic nitrogen content	measurement value	{float} {unit}	40 microgram per liter	microgram per liter	1	MIXS:0000745	total inorganic nitrogen
water	tot_nitro	Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	measurement value	{float} {unit}	50 micromole per liter	microgram per liter, micromole per liter, milligram per liter	1	MIXS:0000102	total nitrogen concentration
water	tot_part_carb	Total particulate carbon content	measurement value	{float} {unit}	35 micromole per liter	microgram per liter, micromole per liter	1	MIXS:0000747	total particulate carbon
water	tot_phosp	Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus	measurement value	{float} {unit}	0.03 milligram per liter	micromole per liter, milligram per liter, parts per million	1	MIXS:0000117	total phosphorus
water	turbidity	Measure of the amount of cloudiness or haziness in water caused by individual particles	measurement value	{float} {unit}	0.3 nephelometric turbidity units	formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units	1	MIXS:0000191	turbidity
water	water_current	Measurement of magnitude and direction of flow within a fluid	measurement value	{float} {unit}	10 cubic meter per second	cubic meter per second, knots	1	MIXS:0000203	water current
food-farm environment	samp_name	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	text	{text}	ISDsoil1	 	1	MIXS:0001107	sample name 
food-farm environment	project_name	Name of the project within which the sequencing was organized.	text	{text}	Forest soil metagenome		1	MIXS:0000092	project name
food-farm environment	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	decimal degrees,  limit to 8 decimal points	{float} {float}	50.586825 6.408977		1	MIXS:0000009	geographic location (latitude and longitude)
